windowSize,accuracy,participantID
600,0.240223463687,7
600,0.887662988967,6
600,0.923923923924,5
1000,0.238390092879,7
1000,0.89816360601,6
1000,0.9375,5
1400,0.233766233766,7
1400,0.910046728972,6
1400,0.93691588785,5
1800,0.237288135593,7
1800,0.923423423423,6
1800,0.923423423423,5
2200,0.239726027397,7
2200,0.920955882353,6
2200,0.924632352941,5
2600,0.241935483871,7
2600,0.939655172414,6
2600,0.938166311301,5
3000,0.242990654206,7
3000,0.917293233083,6
3000,0.931034482759,5
3400,0.225806451613,7
3400,0.940509915014,6
3400,0.940509915014,5
3800,0.223529411765,7
3800,0.949367088608,6
3800,0.92380952381,5
4200,0.223684210526,7
4200,0.94425087108,6
4200,0.924137931034,5
4600,0.214285714286,7
4600,0.950381679389,6
4600,0.919540229885,5
5000,0.230769230769,7
5000,0.945833333333,6
5000,0.934426229508,5
5400,0.220338983051,7
5400,0.955156950673,6
5400,0.93665158371,5
5800,0.228070175439,7
5800,0.951923076923,6
5800,0.938095238095,5
6200,0.22641509434,7
6200,0.953608247423,6
6200,0.938461538462,5
6600,0.224489795918,7
6600,0.950549450549,6
6600,0.922651933702,5
7000,0.212765957447,7
7000,0.941520467836,6
7000,0.929824561404,5
7400,0.232558139535,7
7400,0.944785276074,6
7400,0.94512195122,5
7800,0.243902439024,7
7800,0.948051948052,6
7800,0.915584415584,5
8200,0.210526315789,7
8200,0.945205479452,6
8200,0.931506849315,5
8600,0.210526315789,7
8600,0.957142857143,6
8600,0.934782608696,5
9000,0.235294117647,7
9000,0.947368421053,6
9000,0.940740740741,5
9400,0.228571428571,7
9400,0.952380952381,6
9400,0.946153846154,5
9800,0.21875,7
9800,0.943089430894,6
9800,0.934959349593,5
